point_id,name,lat,lon,annual_units,deliveries_per_year
PHX_W028,PHX_W point 28,33.41318,-112.22584,3895,52
PHX_W029,PHX_W point 29,33.35131,-112.28453,16843,52
PHX_W030,PHX_W point 30,33.49348,-112.29762,18577,52
PHX_W031,PHX_W point 31,33.31251,-112.28382,4765,26
PHX_W032,PHX_W point 32,33.39447,-112.21285,2997,26
PHX_W033,PHX_W point 33,33.46554,-112.22482,14252,52
PHX_W034,PHX_W point 34,33.45001,-112.33216,11081,52
PHX_W035,PHX_W point 35,33.44027,-112.05068,2782,26
PHX_W036,PHX_W point 36,33.48858,-112.33631,12282,52
PHX_W037,PHX_W point 37,33.47612,-112.37124,8725,52
PHX_W038,PHX_W point 38,33.47627,-112.21199,17002,52
PHX_W039,PHX_W point 39,33.49544,-112.37104,3784,52
PHX_W040,PHX_W point 40,33.47637,-112.25475,16436,52
PHX_W041,PHX_W point 41,33.43965,-112.2852,16021,52
PHX_W042,PHX_W point 42,33.59715,-112.51667,11256,52
PHX_W043,PHX_W point 43,33.46765,-112.2304,8931,52
PHX_W044,PHX_W point 44,33.27433,-112.2272,4515,52
PHX_E000,PHX_E point 0,33.47638,-111.87285,6186,26
PHX_E001,PHX_E point 1,33.28471,-111.87345,8830,52
PHX_E002,PHX_E point 2,33.44827,-111.66677,19079,52
PHX_E003,PHX_E point 3,33.43391,-111.66561,7910,26
PHX_E004,PHX_E point 4,33.4728,-111.86966,13746,52
PHX_E005,PHX_E point 5,33.32026,-111.74104,13392,52
PHX_E006,PHX_E point 6,33.37093,-111.72288,5643,52
PHX_E007,PHX_E point 7,33.57206,-111.76692,3711,52
PHX_E008,PHX_E point 8,33.3833,-111.9572,18846,52
PHX_E009,PHX_E point 9,33.54112,-111.77625,16415,52
PHX_E010,PHX_E point 10,33.28863,-111.83672,16312,52
PHX_E011,PHX_E point 11,33.32289,-111.8088,12621,52
PHX_E012,PHX_E point 12,33.45088,-112.06913,12169,52
PHX_E013,PHX_E point 13,33.3972,-111.79861,11407,52
PHX_E014,PHX_E point 14,33.18368,-111.89911,10858,52
PHX_E015,PHX_E point 15,33.53759,-111.80316,4155,52
PHX_E016,PHX_E point 16,33.33291,-111.75862,9534,52
PHX_E017,PHX_E point 17,33.41329,-111.81656,8005,52
PHX_E018,PHX_E point 18,33.30367,-111.85475,6869,26
PHX_E019,PHX_E point 19,33.48998,-111.94585,4837,52
PHX_E020,PHX_E point 20,33.53815,-111.91436,8899,52
PHX_E021,PHX_E point 21,33.41023,-111.75556,18850,52
PHX_E022,PHX_E point 22,33.5229,-111.75432,8774,52
PHX_E023,PHX_E point 23,33.44541,-111.60723,19121,52
PHX_E024,PHX_E point 24,33.18965,-111.67957,13467,52
PHX_E025,PHX_E point 25,33.40079,-111.70904,14349,52
PHX_E026,PHX_E point 26,33.26484,-112.00013,16857,52
PHX_E027,PHX_E point 27,33.43396,-111.78758,9961,52
PHX_E028,PHX_E point 28,33.24872,-112.07101,16063,52
PHX_E029,PHX_E point 29,33.34282,-111.79406,17825,52
PHX_E030,PHX_E point 30,33.40382,-111.76399,3915,26
PHX_E031,PHX_E point 31,33.44301,-111.91047,18146,52
PHX_E032,PHX_E point 32,33.47205,-111.87937,4574,52
PHX_E033,PHX_E point 33,33.36342,-111.85175,13812,52
PHX_E034,PHX_E point 34,33.19069,-111.96965,2929,52
PHX_E035,PHX_E point 35,33.32217,-111.76506,6293,26
PHX_E036,PHX_E point 36,33.40978,-111.73108,18700,52
PHX_E037,PHX_E point 37,33.38309,-111.70464,17083,52
PHX_E038,PHX_E point 38,33.30626,-111.89944,13340,52
PHX_E039,PHX_E point 39,33.30119,-111.8758,15223,52
PHX_E040,PHX_E point 40,33.56208,-111.97822,14778,52
PHX_E041,PHX_E point 41,33.28595,-111.79253,2981,52
PHX_E042,PHX_E point 42,33.20691,-111.74717,17914,52
PHX_E043,PHX_E point 43,33.28302,-111.90543,3650,52
PHX_E044,PHX_E point 44,33.37108,-111.80713,16113,52
FLG000,FLG point 0,35.26924,-111.65057,2015,26
FLG001,FLG point 1,35.17011,-111.56312,5046,52
FLG002,FLG point 2,35.18213,-111.60907,2039,52
FLG003,FLG point 3,35.19416,-111.62039,4319,26
FLG004,FLG point 4,35.13926,-111.61002,3132,26
FLG005,FLG point 5,35.14,-111.72537,5442,52
FLG006,FLG point 6,35.12296,-111.65752,5118,26
FLG007,FLG point 7,35.25636,-111.68773,3928,26
FLG008,FLG point 8,35.16558,-111.64706,4960,26
FLG009,FLG point 9,35.16964,-111.56617,5567,52
FLG010,FLG point 10,35.19038,-111.47414,4019,26
FLG011,FLG point 11,35.19549,-111.59515,4589,52
FLG012,FLG point 12,35.17978,-111.67677,4525,52
FLG013,FLG point 13,35.22994,-111.56488,3201,52
FLG014,FLG point 14,35.17283,-111.60276,1388,52
FLG015,FLG point 15,35.08012,-111.65014,2210,52
FLG016,FLG point 16,35.1003,-111.54817,6790,26
FLG017,FLG point 17,35.09985,-111.80787,2075,26
FLG018,FLG point 18,35.33522,-111.60391,7709,52
FLG019,FLG point 19,35.09634,-111.64784,3176,52
PRC000,PRC point 0,34.54569,-112.41046,5486,52
PRC001,PRC point 1,34.51558,-112.40511,4675,26
PRC002,PRC point 2,34.50149,-112.49438,7923,26
PRC003,PRC point 3,34.62019,-112.47213,7932,52
PRC004,PRC point 4,34.55657,-112.43709,1560,26
PRC005,PRC point 5,34.50294,-112.47243,4285,52
PRC006,PRC point 6,34.47171,-112.41813,1312,26
PRC007,PRC point 7,34.43029,-112.48933,4431,52
PRC008,PRC point 8,34.50869,-112.43762,2705,52
PRC009,PRC point 9,34.54204,-112.43983,5544,26
PRC010,PRC point 10,34.58534,-112.41687,3566,52
PRC011,PRC point 11,34.56482,-112.34825,6911,26
SED000,SED point 0,34.7285,-111.95275,4533,26
SED001,SED point 1,34.68778,-111.90495,6951,26
SED002,SED point 2,34.75358,-111.95359,7421,26
SED003,SED point 3,34.73882,-111.9457,3371,26
SED004,SED point 4,34.76316,-112.00137,4137,26
SED005,SED point 5,34.68702,-111.88671,1051,26
SED006,SED point 6,34.84353,-111.81264,7872,26
SED007,SED point 7,34.58131,-111.98094,6330,52
PAY000,PAY point 0,34.19711,-111.29142,4910,52
PAY001,PAY point 1,34.2065,-111.31058,4662,52
PAY002,PAY point 2,34.19111,-111.31004,5849,26
PAY003,PAY point 3,34.22304,-111.38607,4668,52
PAY004,PAY point 4,34.22306,-111.34082,1204,52
PAY005,PAY point 5,34.169,-111.29938,5927,52
CAG000,CAG point 0,32.94372,-111.76138,7452,26
CAG001,CAG point 1,32.91815,-111.7076,7515,26
CAG002,CAG point 2,32.9069,-111.78172,4295,52
CAG003,CAG point 3,32.90232,-111.77033,6564,52
CAG004,CAG point 4,32.91569,-111.71792,7045,52
CAG005,CAG point 5,32.85797,-111.72839,3259,26
CAG006,CAG point 6,32.84902,-111.70644,5359,52
CAG007,CAG point 7,32.94813,-111.78203,4510,52
WKB000,WKB point 0,34.03444,-112.62803,4411,52
WKB001,WKB point 1,33.95758,-112.74145,2195,52
WKB002,WKB point 2,33.92546,-112.70682,4546,52
WKB003,WKB point 3,33.99797,-112.64789,2367,26
